	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
851	capituler	1.0				2.0	10.0	6.0	12.0	2.0	4.0	8.0	12.0	3.0	1.0	4.0			1.0	223.0							7.0	29.0	7.0	5.0			2.0	2.0	1.0	4.0	11.0	61.0	14.0	11.0	25.0	71.0		1.0		166.0							706.0
852	capoter												2.0		8.0		1.0	2.0	12.0	293.0									7.0	3.0		1.0				8.0		62.0		20.0	6.0	74.0		1.0	3.0	116.0				4.0			623.0
853	capsuler																																					3.0				7.0								1.0			11.0
854	capter		1.0					1.0	4.0	5.0	10.0	9.0	39.0	11.0	19.0	1.0	4.0	9.0	45.0	704.0							4.0	27.0	42.0	9.0		2.0	2.0	4.0	5.0	5.0	61.0	521.0	85.0	231.0	133.0	672.0	18.0	48.0	25.0	767.0							3523.0
855	captiver						6.0	2.0	3.0			1.0	5.0		2.0			3.0	12.0	75.0								1.0	5.0	14.0		1.0				1.0		3.0	4.0	1.0	17.0	53.0	3.0	41.0	45.0	181.0						1.0	480.0
856	capturer	3.0	1.0		1.0	7.0	16.0	26.0	22.0	8.0	3.0	15.0	70.0	10.0	4.0	13.0	1.0	15.0	20.0	2511.0							22.0	246.0	27.0	56.0	1.0	1.0			2.0	10.0	41.0	52.0	30.0	20.0	125.0	333.0	55.0	444.0	726.0	2808.0				3.0		1.0	7749.0
857	capuchonner																																							2.0													2.0
858	caquer										1.0									4.0									4.0													5.0											14.0
859	caqueter								1.0						1.0	3.0	1.0	3.0	2.0	45.0								3.0	4.0	5.0								1.0	2.0	1.0	10.0	16.0				3.0							101.0
860	caracoler												1.0			1.0		2.0	2.0	10.0								1.0	1.0	10.0								1.0	1.0	4.0	3.0	9.0				2.0							48.0
861	caractériser																	3.0	18.0	22.0									2.0	13.0		3.0	14.0			3.0		1.0		1.0	39.0	149.0	3.0	33.0	2.0	59.0							365.0
862	caramboler						1.0													1.0																		1.0				1.0				1.0							5.0
863	caraméliser								1.0											11.0																			1.0		1.0	5.0	3.0	4.0	1.0	7.0							34.0
864	carapater																		1.0	13.0									1.0	1.0								3.0	1.0	1.0	4.0	11.0		6.0	2.0	11.0							55.0
865	carbonater																																									2.0				1.0							3.0
866	carboniser												2.0			1.0			2.0	41.0							2.0	5.0		2.0					1.0	1.0		6.0		2.0	2.0	11.0	26.0	76.0	99.0	239.0							518.0
867	carburer												1.0		2.0		2.0	1.0	9.0	12.0								2.0	1.0	121.0						1.0		13.0	7.0	22.0	20.0	59.0				5.0						1.0	279.0
868	carder						1.0				1.0									12.0								1.0	1.0								1.0																17.0
869	carencer																			1.0																						1.0		2.0		4.0							8.0
870	caresser		1.0				21.0	1.0	17.0	2.0	6.0	3.0	15.0	2.0	45.0	8.0	16.0	10.0	109.0	1050.0								74.0	165.0	102.0		20.0	2.0	2.0	1.0	8.0	4.0	163.0	28.0	119.0	65.0	375.0	9.0	66.0	15.0	235.0				1.0		1.0	2761.0
871	carguer																			1.0								12.0																								1.0	14.0
872	caricaturer						1.0													16.0								2.0		3.0								1.0		6.0	3.0	7.0	2.0	5.0	3.0	9.0							58.0
873	carier						8.0													1.0																						1.0	3.0	1.0						1.0			15.0
874	carillonner																	3.0	1.0	16.0										1.0											16.0	23.0				3.0							63.0
875	carmer						7.0													4.0																																	11.0
876	carminer						12.0																						37.0													5.0											54.0
877	carotter				1.0												2.0		1.0	14.0								1.0	1.0	1.0		1.0				1.0		2.0	1.0	2.0	1.0	9.0		1.0	1.0	10.0							50.0
878	carreler																			11.0										2.0								1.0				1.0	2.0	11.0	4.0	11.0							43.0
879	carrer				1.0						1.0					1.0				128.0								5.0	18.0	1.0		2.0						10.0	8.0	4.0	1.0	16.0	12.0	46.0	80.0	179.0				10.0			523.0
880	carrosser																																									4.0	2.0	10.0		4.0							20.0
881	carter						18.0													48.0								3.0	2.0									2.0		5.0		106.0			1.0	6.0				23.0			214.0
882	cartographier						1.0					1.0	1.0					2.0	1.0	77.0								1.0	1.0	2.0							1.0	2.0	2.0	1.0	3.0	14.0	4.0	14.0	12.0	46.0							186.0
883	cartonner						1.0		1.0		3.0		9.0		1.0			6.0	18.0	241.0									5.0			3.0		4.0		6.0		30.0	5.0	29.0	31.0	153.0	3.0	10.0	6.0	215.0							780.0
884	caréner													1.0	1.0		1.0	1.0		6.0										1.0													1.0			4.0							16.0
885	cascader																		1.0	4.0										2.0								1.0				5.0								1.0			14.0
886	caser				31.0		174.0	1.0	17.0		5.0		19.0		2.0			1.0	2.0	857.0							1.0	8.0	14.0	2.0		4.0		1.0		8.0		21.0	5.0	31.0	7.0	67.0	9.0	69.0	41.0	159.0							1556.0
887	caserner																																									5.0				3.0							8.0
888	casquer								1.0	5.0			4.0		1.0				2.0	130.0								8.0	1.0						1.0	1.0		9.0	4.0	10.0	4.0	49.0		3.0	1.0	36.0							270.0
889	casser		1.0				33.0	22.0	281.0	25.0	68.0	50.0	285.0	5.0	83.0	34.0	40.0	48.0	222.0	8951.0				1.0			270.0	1154.0	1243.0	192.0	1.0	131.0	16.0	36.0	11.0	140.0	49.0	2839.0	441.0	1087.0	582.0	4312.0	442.0	2482.0	458.0	11701.0		8.0		23.0	1.0	4.0	37772.0
890	castagner				1.0		5.0						2.0		1.0					19.0																		2.0		5.0	4.0	8.0			6.0	8.0							61.0
891	castrer				1.0		8.0		9.0				2.0		3.0	1.0		3.0	3.0	246.0							3.0	21.0	3.0	7.0		2.0			1.0	3.0		22.0	1.0	3.0	9.0	23.0		11.0	30.0	255.0							670.0
892	cataloguer								3.0		1.0	1.0	2.0	1.0	1.0			1.0	4.0	110.0								6.0	3.0	2.0						1.0	2.0	8.0	6.0	7.0	8.0	31.0	18.0	42.0	27.0	165.0				1.0			451.0
893	catalyser						1.0												1.0	11.0																					2.0	4.0		3.0		13.0							35.0
894	catapulter						1.0	1.0	1.0	1.0			2.0					1.0		37.0							1.0	4.0	5.0	1.0		1.0				1.0	1.0	1.0	1.0		3.0	13.0	1.0	6.0	14.0	38.0							135.0
895	catastropher																			1.0									1.0													8.0	1.0	5.0	2.0	17.0							35.0
896	catcher												1.0		1.0				2.0	77.0							3.0			2.0								7.0		4.0						11.0							108.0
897	catir												5.0																															14.0		3.0							22.0
898	catéchiser																																					1.0				2.0		1.0		2.0							6.0
899	catégoriser								1.0				1.0		1.0					27.0									2.0	2.0				1.0		1.0			1.0	1.0	1.0	2.0	2.0	4.0	1.0	15.0							63.0
900	cauchemarder														2.0	2.0	1.0			20.0										1.0							1.0	6.0	1.0	3.0	2.0	8.0				13.0							60.0
901	causer		1.0			9.0	66.0	21.0	100.0	36.0	32.0	47.0	465.0	16.0	39.0	27.0	16.0	57.0	259.0	5237.0							74.0	114.0	116.0	460.0	2.0	37.0	9.0	16.0	32.0	355.0	28.0	412.0	185.0	463.0	505.0	3544.0	425.0	933.0	754.0	5940.0				6.0			20838.0
902	cautionner							2.0	19.0			2.0	3.0			2.0	1.0	3.0	3.0	102.0								7.0	2.0	3.0		2.0		1.0	1.0	8.0	4.0	27.0	18.0	16.0	9.0	104.0		3.0		48.0							390.0
903	cautériser							1.0	3.0			2.0	4.0			1.0		1.0	1.0	107.0							1.0	18.0	6.0	3.0						1.0		11.0		5.0	3.0	18.0	8.0	20.0	1.0	38.0							253.0
904	cavaler	1.0				1.0	1.0	1.0			2.0	2.0	1.0	1.0		1.0	4.0	3.0	16.0	119.0							1.0	4.0	4.0	2.0					1.0	1.0		23.0	6.0	19.0	13.0	62.0	1.0			35.0							325.0
905	caver						70.0													1.0									1.0													13.0				2.0							87.0
906	caviarder																			1.0																							1.0	1.0	3.0	2.0							8.0
907	ceindre						1.0	1.0					2.0							11.0							1.0	2.0	1.0	2.0							1.0		2.0		2.0	4.0	1.0	4.0	5.0	15.0						3.0	58.0
908	ceinturer																	1.0	2.0	15.0								5.0	8.0	2.0									1.0			38.0		15.0	2.0	19.0				3.0			111.0
909	celer		1.0		25.0														2.0	4.0							4.0	1.0	4.0	1.0								2.0					3.0	1.0	1.0	3.0							52.0
910	cendrer				2.0											1.0														1.0										2.0		3.0	1.0		1.0	1.0				7.0			19.0
911	censurer					1.0			3.0		1.0	1.0		1.0		1.0		2.0	1.0	150.0								12.0	9.0	1.0					1.0		2.0	7.0	14.0	9.0	25.0	36.0	34.0	77.0	51.0	191.0							630.0
912	centraliser												1.0	1.0		1.0	1.0	1.0		23.0								4.0	1.0	2.0							2.0	5.0		1.0	1.0	10.0	3.0	25.0	7.0	54.0							143.0
913	centrer						12.0								1.0				1.0	54.0							3.0	19.0	9.0	2.0							3.0	8.0	1.0	1.0	3.0	105.0	22.0	97.0	27.0	165.0							533.0
914	centrifuger															1.0				2.0								1.0	1.0									1.0					1.0			3.0							10.0
915	centupler						1.0					1.0																																1.0	1.0								4.0
916	cercler																			3.0								2.0		1.0								1.0		1.0	1.0	32.0	4.0	5.0	8.0	9.0				3.0			70.0
917	cerner						3.0	3.0		1.0	1.0	2.0	8.0		2.0	2.0	1.0	7.0	9.0	550.0							5.0	41.0	4.0	2.0		2.0	1.0			1.0	6.0	44.0	10.0	6.0	36.0	59.0	15.0	170.0	367.0	548.0				3.0			1909.0
918	certifier					1.0	2.0		2.0		1.0	2.0	8.0		1.0	2.0			2.0	236.0							3.0	12.0	9.0	24.0					2.0	1.0	3.0	65.0	23.0	5.0	6.0	85.0	7.0	54.0	31.0	252.0		1.0					840.0
919	cesser	1.0	13.0			31.0	107.0	53.0	209.0	120.0	141.0	221.0	486.0	14.0	63.0	140.0	27.0	45.0	241.0	3391.0							208.0	3139.0	237.0	33.0	6.0	35.0	11.0	14.0	20.0	85.0	53.0	111.0	219.0	331.0	556.0	2557.0	2.0	17.0	17.0	3989.0	2.0			2.0	1.0		16948.0
920	chagriner												5.0		1.0				10.0	30.0								3.0	41.0							7.0		61.0	6.0	8.0	9.0	179.0		21.0	6.0	37.0							424.0
921	chahuter											1.0		4.0	6.0	1.0	3.0	9.0	18.0	116.0							2.0	8.0	2.0	2.0									2.0	4.0	32.0	37.0	1.0	3.0	2.0	33.0							286.0
922	challenger																		1.0	34.0										1.0								2.0		1.0		22.0		1.0		2.0							64.0
923	chaloir																			18.0																																	18.0
924	chalouper				3.0															2.0								1.0												1.0		4.0		1.0									12.0
925	chaluter																			1.0																																	1.0
926	chamailler							1.0		3.0		1.0	2.0		1.0	5.0	1.0	18.0	27.0	326.0							9.0	16.0	1.0	13.0	1.0					3.0	11.0	4.0	44.0	3.0	112.0	80.0	3.0	2.0	30.0	10.0							727.0
927	chamarrer																																											1.0		2.0							3.0
928	chambarder												1.0							15.0								2.0											2.0	1.0	1.0	2.0	1.0		1.0	5.0							31.0
929	chambouler		1.0				1.0						7.0	1.0					7.0	219.0							6.0	2.0	13.0			1.0		2.0		14.0		9.0	6.0	13.0	12.0	110.0	30.0	194.0	26.0	387.0				1.0			1062.0
930	chambrer						2.0								2.0			5.0	8.0	78.0								3.0	5.0									12.0	8.0	11.0	1.0	267.0		3.0	3.0	23.0				7.0			438.0
931	chamoiser																																											4.0									4.0
932	champagniser																			2.0																																	2.0
933	chanceler		1.0				1.0				1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	8.0	40.0									2.0	25.0							1.0	8.0	6.0	6.0	11.0	52.0				16.0							189.0
934	chancir																																											2.0									2.0
935	changer		9.0		1.0	52.0	289.0	130.0	918.0	381.0	780.0	591.0	5497.0	51.0	244.0	222.0	93.0	167.0	838.0	48817.0							718.0	1719.0	1897.0	516.0	13.0	424.0	164.0	204.0	99.0	1581.0	260.0	2596.0	1166.0	2261.0	4821.0	16465.0	335.0	1067.0	545.0	39749.0		4.0		14.0	1.0	7.0	135706.0
936	chansonner				1.0															1.0																																	2.0
937	chanstiquer																																								1.0												1.0
938	chanter	1.0	1.0			17.0	44.0	107.0	473.0	103.0	161.0	136.0	431.0	64.0	540.0	197.0	307.0	307.0	1571.0	16449.0							605.0	1009.0	2262.0	1012.0	9.0	71.0	22.0	43.0	28.0	88.0	164.0	1881.0	683.0	1548.0	1616.0	6005.0	56.0	223.0	41.0	2301.0		2.0		4.0	1.0	2.0	40585.0
939	chantonner								3.0						8.0	1.0		3.0	16.0	39.0								5.0	15.0	23.0								15.0	3.0	10.0	16.0	289.0		1.0	1.0	6.0							454.0
940	chantourner																																										1.0										1.0
941	chaparder							1.0	1.0						3.0			2.0	6.0	36.0								1.0	2.0	5.0								6.0		2.0	3.0	26.0	1.0	1.0	4.0	25.0							125.0
942	chapeauter								1.0				3.0		1.0				3.0	6.0								1.0		1.0								2.0	4.0	2.0		27.0		1.0	3.0	5.0							60.0
943	chapeler																												1.0													8.0											9.0
944	chaperonner								2.0	3.0		1.0	7.0		2.0		1.0	1.0	6.0	149.0								3.0	5.0	2.0		1.0				3.0		23.0	4.0	16.0	4.0	55.0	3.0	16.0	5.0	23.0							335.0
945	chapitrer																			4.0								1.0	16.0											1.0		59.0		2.0		4.0				2.0			89.0
946	charbonner																			1.0																						1.0		1.0		2.0							5.0
947	charcuter								2.0	1.0		2.0	5.0		1.0	3.0	1.0		3.0	140.0							1.0	2.0	4.0	3.0		1.0				5.0		9.0	8.0	10.0	11.0	51.0	4.0	30.0	5.0	64.0							366.0
948	charger				1.0	9.0	33.0	77.0	485.0	54.0	44.0	153.0	622.0	9.0	80.0	55.0	20.0	47.0	159.0	5000.0						1.0	78.0	1707.0	286.0	86.0		50.0	9.0	15.0	7.0	66.0	101.0	5124.0	245.0	464.0	355.0	2472.0	272.0	1563.0	899.0	5590.0		3.0		15.0		1.0	26257.0
949	charioter																												1.0									1.0		1.0		3.0											6.0
950	charlataner																																									1.0											1.0
951	charmer						4.0		8.0	3.0	2.0	4.0	6.0		1.0		2.0	3.0	16.0	429.0								19.0	20.0	732.0		3.0				3.0	2.0	10.0	12.0	29.0	18.0	120.0	8.0	74.0	20.0	200.0							1748.0
952	charpenter																			1.0																							1.0	1.0	1.0	4.0							8.0
953	charrier						4.0					2.0	4.0		22.0	1.0	5.0	9.0	24.0	181.0								13.0	29.0	6.0		2.0						125.0	56.0	177.0	30.0	107.0	2.0	7.0	3.0	37.0				2.0			848.0
954	chasser		4.0			14.0	54.0	60.0	121.0	28.0	22.0	89.0	211.0	37.0	170.0	62.0	48.0	121.0	345.0	6031.0							69.0	363.0	188.0	217.0	4.0	33.0	5.0	8.0	19.0	46.0	133.0	446.0	339.0	317.0	565.0	1760.0	50.0	346.0	508.0	1771.0		1.0	1.0	3.0		1.0	14610.0
955	chatonner																			1.0									2.0												1.0	1.0											5.0
956	chatouiller						2.0		10.0		2.0	2.0	10.0		11.0	1.0	7.0	8.0	45.0	310.0							3.0	32.0	84.0	17.0		1.0	1.0	1.0		9.0		48.0	38.0	137.0	46.0	733.0	3.0	14.0	5.0	72.0				4.0			1656.0
957	chatoyer																		1.0											1.0											3.0	2.0											7.0
958	chatter								1.0				3.0		8.0	1.0		4.0	19.0	95.0							5.0	3.0	1.0	3.0							3.0	12.0	2.0	5.0	4.0	32.0				30.0							231.0
959	chauffer							1.0	17.0	2.0	3.0	5.0	37.0	2.0	17.0	3.0	4.0	11.0	84.0	2087.0							10.0	65.0	71.0	29.0	1.0	6.0		2.0		13.0	13.0	221.0	58.0	174.0	116.0	1032.0	46.0	184.0	66.0	446.0				3.0			4829.0
960	chauler																			2.0							1.0															1.0	1.0	1.0		1.0							7.0
961	chaumer																																													4.0							4.0
962	chausser		1.0						2.0				3.0		1.0	1.0	1.0	1.0	10.0	51.0							2.0	10.0	16.0	8.0					1.0		1.0	30.0	22.0	38.0	6.0	58.0	3.0	18.0	9.0	33.0							326.0
963	chavirer						2.0	1.0					10.0						8.0	245.0									4.0			2.0				1.0	1.0	10.0	2.0	3.0	6.0	73.0		12.0	6.0	102.0							488.0
964	chaîner																			1.0									1.0													26.0								1.0			29.0
965	cheminer						1.0	2.0		2.0	1.0	1.0		2.0	1.0		1.0	4.0	4.0	18.0							5.0	3.0	1.0	14.0		1.0					6.0	11.0	4.0	2.0	8.0	33.0	13.0	15.0		23.0							176.0
966	chemiser																			1.0																		2.0				32.0	13.0	11.0	1.0	3.0				4.0			67.0
967	chercher	3.0	40.0			35.0	89.0	171.0	606.0	97.0	110.0	330.0	705.0	489.0	6604.0	1625.0	1414.0	1363.0	5603.0	93489.0							990.0	3622.0	3855.0	2191.0	10.0	251.0	60.0	78.0	67.0	245.0	3080.0	17188.0	8463.0	9149.0	5433.0	21754.0	59.0	1277.0	202.0	10280.0		6.0	9.0	9.0	2.0	18.0	201071.0
968	chevaler																																					1.0				1.0											2.0
969	chevaucher	2.0	2.0			2.0	9.0	20.0	26.0	14.0	11.0	6.0	22.0	7.0	25.0	10.0	14.0	25.0	62.0	456.0							8.0	36.0	53.0	118.0	1.0	8.0		2.0		3.0	18.0	47.0	20.0	35.0	100.0	185.0	4.0	13.0	8.0	166.0							1538.0
970	cheviller																			1.0								1.0													1.0	4.0	1.0	5.0	3.0	8.0				1.0			25.0
971	chevronner																																										1.0	2.0	9.0	17.0							29.0
972	chevroter																			7.0										1.0											1.0	2.0											11.0
973	chiader																			2.0																		3.0					2.0	3.0		14.0							24.0
974	chialer								4.0		3.0	2.0	8.0		5.0	1.0	16.0	5.0	31.0	726.0							1.0	6.0	70.0	31.0		5.0	1.0	3.0		3.0		35.0	6.0	94.0	29.0	124.0				80.0							1289.0
975	chicaner				3.0		5.0		2.0				5.0		1.0	1.0			5.0	77.0							7.0	8.0	11.0							1.0		3.0	14.0	5.0	6.0	27.0	1.0	3.0	8.0	9.0							202.0
976	chicorer																			1.0																										3.0							4.0
977	chicoter																												5.0									13.0			1.0	1.0											20.0
978	chienner																					23.0		13.0					5.0									1.0				27.0								5.0			74.0
979	chier					1.0	67.0		28.0	14.0	26.0	10.0	45.0		52.0	6.0	13.0	19.0	78.0	13571.0							6.0	29.0	161.0	176.0		19.0	2.0	7.0	6.0	12.0	4.0	291.0	75.0	239.0	191.0	648.0	4.0	30.0	13.0	1027.0						1.0	16871.0
980	chiffonner												1.0					1.0	14.0	12.0								1.0	18.0	1.0								73.0	3.0	3.0	10.0	150.0	4.0	10.0	3.0	15.0							319.0
981	chiffrer											1.0	3.0			1.0		3.0	4.0	61.0							1.0	4.0	2.0	8.0				1.0		3.0	2.0	2.0		9.0	17.0	46.0	3.0	13.0	10.0	37.0				11.0			242.0
982	chigner																			1.0									1.0												1.0	1.0											4.0
983	chiner						377.0						3.0							28.0									1.0	1.0								1.0		1.0	1.0	5.0			1.0	1.0							420.0
984	chinoiser																			4.0									2.0									1.0		1.0		38.0											46.0
985	chiper				1.0			1.0	4.0	1.0			2.0	1.0	3.0				2.0	92.0								3.0	4.0	2.0		2.0	1.0		1.0			10.0	5.0	5.0		26.0	3.0	14.0	6.0	103.0							292.0
986	chipoter														1.0				1.0	86.0							13.0	3.0	9.0	1.0								4.0	7.0	25.0	6.0	22.0			1.0	7.0							186.0
987	chiquer						1.0		1.0						1.0				6.0	92.0								1.0				1.0						9.0	3.0	9.0	4.0	21.0				6.0				2.0			157.0
988	chlinguer																		2.0	3.0																		2.0	2.0	14.0	2.0	44.0											69.0
989	chlorer																		1.0	3.0																						2.0		5.0	1.0	4.0							16.0
990	chloroformer																			8.0								1.0	1.0	1.0						1.0		2.0	2.0	1.0		4.0	1.0	13.0	3.0	13.0							51.0
991	chlorurer																																									6.0											6.0
992	choir		1.0				179.0		1.0	2.0										93.0						2.0			13.0									6.0		2.0		9.0	1.0	3.0	1.0	532.0							845.0
993	choisir	1.0				25.0	26.0	77.0	440.0	205.0	198.0	121.0	539.0	22.0	68.0	113.0	42.0	56.0	222.0	17222.0						1.0	111.0	2028.0	806.0	283.0	8.0	447.0	140.0	243.0	37.0	266.0	232.0	2195.0	969.0	1915.0	771.0	3247.0	281.0	2568.0	2434.0	21279.0		184.0	1.0	230.0		335.0	60388.0
994	choper		1.0					5.0	38.0	10.0	12.0	24.0	73.0		17.0	9.0	3.0	12.0	24.0	2363.0							70.0	327.0	498.0	8.0		13.0	1.0	3.0	3.0	11.0	5.0	223.0	33.0	141.0	127.0	510.0	7.0	135.0	77.0	1311.0				5.0			6099.0
995	chopper						1.0		5.0			3.0	8.0		2.0				4.0	414.0							22.0	54.0	73.0	1.0		3.0		1.0		2.0		26.0	3.0	12.0	14.0	85.0				221.0				3.0			957.0
996	choquer					2.0	8.0		2.0	2.0	4.0	4.0	34.0		2.0			5.0	25.0	717.0							7.0	44.0	54.0	107.0		3.0	1.0	3.0	2.0	51.0	2.0	70.0	14.0	31.0	34.0	647.0	28.0	752.0	263.0	1324.0							4242.0
997	chorégraphier						1.0		4.0						1.0	1.0				28.0																		3.0		1.0	1.0	7.0	3.0	7.0	3.0	40.0				1.0			101.0
998	choser				5.0																								19.0										1.0	76.0	11.0	117.0			1.0	2.0		1.0				1.0	234.0
999	chosifier																			2.0																						1.0		2.0		2.0							7.0
1000	chouchouter								4.0		1.0		2.0		1.0	2.0		4.0	10.0	71.0								3.0	6.0								1.0	3.0	6.0	7.0	8.0	35.0	3.0	8.0	8.0	31.0							214.0
1001	chouiner																2.0		1.0	57.0								1.0	3.0	2.0								1.0	1.0	4.0	2.0	12.0				5.0							91.0
1002	chouraver										1.0						1.0		1.0	15.0								1.0		1.0												10.0		2.0	2.0	13.0				1.0			48.0
1003	chourer						34.0		2.0				1.0		1.0			1.0	1.0	47.0									2.0									5.0	1.0	11.0	1.0	13.0	4.0	7.0	2.0	63.0							196.0
1004	chouriner																																													1.0							1.0
1005	choyer						22.0		2.0						1.0			2.0	1.0	61.0								4.0		4.0		1.0					4.0		6.0		1.0	7.0	2.0	24.0	20.0	49.0							211.0
1006	christianiser						1.0													2.0																								1.0		2.0							6.0
1007	chromer						1.0													1.0																						10.0	32.0	26.0	24.0	74.0							168.0
1008	chroniquer																			1.0									1.0	1.0								1.0				8.0				2.0							14.0
1009	chronométrer						1.0	1.0	2.0				1.0	1.0	5.0	1.0		1.0	2.0	107.0							3.0	24.0	23.0	1.0							2.0	57.0	8.0	25.0	1.0	34.0	3.0	23.0	19.0	133.0							478.0
1010	chroumer																																									1.0											1.0
1011	chuchoter				1.0		20.0	3.0	17.0		3.0	9.0	12.0	2.0	9.0	13.0	12.0	40.0	64.0	441.0							2.0	23.0	81.0	130.0		2.0		2.0	1.0	3.0	10.0	55.0	92.0	136.0	97.0	324.0	2.0	5.0	9.0	150.0							1770.0
1012	chuinter																			1.0																																	1.0
1013	chuter					3.0	30.0	3.0	3.0	7.0	3.0	11.0	24.0	1.0	2.0	1.0	2.0	11.0	26.0	614.0								2.0	9.0	27.0			1.0		8.0	6.0	13.0	15.0	10.0	9.0	184.0	1013.0	7.0	6.0	6.0	768.0				2.0			2827.0
1014	châtaigner																			11.0									1.0													1.0				1.0							14.0
1015	châtier							3.0	15.0		2.0	3.0	18.0				1.0	2.0		160.0							1.0	13.0	22.0	6.0		3.0			1.0	1.0	1.0	11.0	2.0	9.0	4.0	102.0	5.0	30.0	43.0	116.0							574.0
1016	châtrer																			55.0								2.0		1.0		1.0				1.0		2.0		1.0	1.0	8.0	1.0		5.0	28.0							106.0
1017	chérer																												10.0													67.0											77.0
