	lemme	case	nb	graphie
97201	écraser	pi2P	2	écraser-écrasez
97230	écrier	pi1S	2	écrie-écrié
97267	écrire	pi2P	2	écrire-écrivez
97309	écrouler	pi2P	2	écrouler-écroulez
97321	écrémer	ii3S	2	écrémait-écrémé
97393	édifier	pI2P	2	édifier-édifiez
97396	édifier	pi2P	2	édifier-édifiez
97495	égaler	pi2P	2	égaler-égalez
97498	égaler	pi3S	2	=-égale
97519	égaliser	pi2P	2	égaliser-égalisez
97538	égarer	ii3S	2	égarait-égaré
97560	égayer	fi3P	2	égaieront-égayeront
97561	égayer	fi3S	2	égaiera-égayera
97568	égayer	pI2S	2	égaie-égaye
97571	égayer	pc2S	2	égaierais-égayerais
97572	égayer	pc3P	2	égaieraient-égayeraient
97573	égayer	pc3S	2	égaierait-égayerait
97578	égayer	pi3P	2	égaient-égayent
97579	égayer	pi3S	2	égaie-égaye
97592	égorger	ii3P	2	égorgeaient-égorgée
