	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
52005	pleure	pleurer	VER				7.0	116949.5	52684.5	
52110	votez	voter	VER				7.0	116949.5	52684.5	
52246	goûte	goûter	VER				7.0	116949.5	52684.5	
52330	veuillez	vouloir	VER				7.0	116949.5	52684.5	
52419	explique	expliquer	VER				7.0	116949.5	52684.5	
52558	aggrave	aggraver	VER		f	s	7.0	116949.5	52684.5	
52598	accepte	accepter	VER				7.0	116949.5	52684.5	
52665	désole	désoler	VER				7.0	116949.5	52684.5	
52711	buvez	boire	VER				7.0	116949.5	52684.5	
52881	démerde	démerder	VER		f	s	7.0	116949.5	52684.5	
52891	démarre	démarrer	VER				7.0	116949.5	52684.5	
52933	siffle	siffler	VER				7.0	116949.5	52684.5	
52972	meurt	mourir	VER				7.0	116949.5	52684.5	
53024	barrera	barrer	VER				7.0	116949.5	52684.5	
53143	drapes	draper	VER				7.0	116949.5	52684.5	
53211	battis	battre	VER				7.0	116949.5	52684.5	
53323	basa	baser	VER				7.0	116949.5	52684.5	
53427	prend	prendre	VER				7.0	116949.5	52684.5	
53430	valez	valoir	VER				7.0	116949.5	52684.5	
53553	rentrez	rentrer	VER				7.0	116949.5	52684.5	
53598	tamise	tamiser	VER		f	s	7.0	116949.5	52684.5	
53677	tournent	tourner	VER				7.0	116949.5	52684.5	
53808	bossons	bosser	VER		m	p	7.0	116949.5	52684.5	
53861	marmonne	marmonner	VER				7.0	116949.5	52684.5	
53950	rejoins	rejoindre	VER				7.0	116949.5	52684.5	
53976	acceptez	accepter	VER				6.0	122618.5	55588.0	
54057	pète	péter	VER				6.0	122618.5	55588.0	
54091	remercie	remercier	VER				6.0	122618.5	55588.0	
54135	claudique	claudiquer	VER				6.0	122618.5	55588.0	
54150	clavardant	clavarder	VER				6.0	122618.5	55588.0	
54197	posa	poser	VER				6.0	122618.5	55588.0	
54305	renifle	renifler	VER				6.0	122618.5	55588.0	
54358	sise	seoir	VER		f	s	6.0	122618.5	55588.0	
54424	cantonnais	cantonner	VER				6.0	122618.5	55588.0	
54428	retombe	retomber	VER		f	s	6.0	122618.5	55588.0	
54446	entiché	enticher	VER		m	s	6.0	122618.5	55588.0	
54471	attend	attendre	VER				6.0	122618.5	55588.0	
54553	exhale	exhaler	VER				6.0	122618.5	55588.0	
54707	retrouvez	retrouver	VER				6.0	122618.5	55588.0	
54797	ignore	ignorer	VER				6.0	122618.5	55588.0	
54843	dépasse	dépasser	VER				6.0	122618.5	55588.0	
55022	va	aller	VER		m	s	6.0	122618.5	55588.0	
